0: JPT.DItemType.UNKNOWN
53: JPT.DItemType.LBC_TEMP_BOUNDARY
54: JPT.DItemType.LBC_CONCENTRATE_FLUX
55: JPT.DItemType.LBC_SURFACE_FLUX
56: JPT.DItemType.LBC_THERMAL_CONVECTION
57: JPT.DItemType.LBC_ENFORCED_VELOCITY
58: JPT.DItemType.LBC_ENFORCED_ACCELERATION
59: JPT.DItemType.LBC_DYNAMIC_INITIAL_CONDITION
60: JPT.DItemType.LBC_CONTACT_CLEARANCE
61: JPT.DItemType.LBC_MAPPING_PRESSURE
62: JPT.DItemType.LBC_MAPPING_FORCE
63: JPT.DItemType.LBC_MAPPING_TEMP_LOAD
174: JPT.DItemType.LBC_MAPPING_TEMP_INIT
64: JPT.DItemType.LBC_MAPPING_TEMP_BOUNDARY
65: JPT.DItemType.LBC_MAPPING_THERMAL_CONVECTION
66: JPT.DItemType.LBC_INITSTRESS_GENERAL
67: JPT.DItemType.LBC_INITSTRESS_MAPPING
68: JPT.DItemType.LBC_PRETENSION
69: JPT.DItemType.LBC_PRETENSION_ABAQUS
70: JPT.DItemType.LBC_SURFACE_LOADS
71: JPT.DItemType.LBC_SUBMODEL_FORCED_DISP
72: JPT.DItemType.LBC_SUBMODEL_FORCED_TEMP
73: JPT.DItemType.LBC_SUBMODEL_FORCED_FLUX
74: JPT.DItemType.LBC_INSIDE_HEAT_GENERATION
75: JPT.DItemType.LBC_RIGIDWALL
76: JPT.DItemType.LBC_INIT_ANGULAR_VEL_ABAQUS
77: JPT.DItemType.LBC_WELD
78: JPT.DItemType.SUP_GROUP
79: JPT.DItemType.GROUP
80: JPT.DItemType.ELEMEDGE_GROUP
81: JPT.DItemType.FIELD_DATA
82: JPT.DItemType.PROPERTY_0D_MASS
83: JPT.DItemType.PROPERTY_1D_BAR
84: JPT.DItemType.PROPERTY_1D_BEAM
85: JPT.DItemType.PROPERTY_1D_ROD
86: JPT.DItemType.PROPERTY_1D_PLOT
87: JPT.DItemType.PROPERTY_2D_SHELL
88: JPT.DItemType.PROPERTY_2D_COMPOSITE_SHELL
89: JPT.DItemType.PROPERTY_3D_SOLID
90: JPT.DItemType.PROPERTY_3D_GASKET
91: JPT.DItemType.PROPERTY_3D_COHESIVE
92: JPT.DItemType.PROPERTY_3D_WELDBEAD
93: JPT.DItemType.SECTION_GENERAL
94: JPT.DItemType.SECTION_LIBRARY
95: JPT.DItemType.SECTION_SKETCHER
96: JPT.DItemType.CONNECT_MPC
97: JPT.DItemType.CONNECT_SPRING
98: JPT.DItemType.CONNECT_RBE2
99: JPT.DItemType.CONNECT_CONM
100: JPT.DItemType.CONNECT_PROD
101: JPT.DItemType.CONNECT_RBAR
102: JPT.DItemType.CONNECT_RBE3
103: JPT.DItemType.CONNECT_BUSH
104: JPT.DItemType.CONNECT_MOMENT
105: JPT.DItemType.CONNECT_WELD
106: JPT.DItemType.CONNECT_DAMPER
107: JPT.DItemType.CONNECT_CONNECTOR
108: JPT.DItemType.CONTACT_ADVC
109: JPT.DItemType.CONTACT_NXNASTRAN
110: JPT.DItemType.CONTACT_MSCNASTRAN
111: JPT.DItemType.CONTACT_ABAQUS
112: JPT.DItemType.CONTACT_ANSYS
113: JPT.DItemType.CONTACT
114: JPT.DItemType.CUSTOM_ATTR_STRING
115: JPT.DItemType.CUSTOM_ATTR_VECTOR
116: JPT.DItemType.CUSTOM_ATTR_DOUBLE
117: JPT.DItemType.DCS
118: JPT.DItemType.ADVCPROCESS
119: JPT.DItemType.ADVCPROCESS_STATIC
120: JPT.DItemType.ADVCPROCESS_DYNAMIC
121: JPT.DItemType.ADVCPROCESS_EIGEN
122: JPT.DItemType.ADVCPROCESS_CREEP
123: JPT.DItemType.ADVCPROCESS_DYNAMIC_EXPLICIT
124: JPT.DItemType.ADVCPROCESS_FATIGUE
125: JPT.DItemType.ADVCPROCESS_MODAL_FREQ_RESP
126: JPT.DItemType.ADVCPROCESS_RESP_SPEC
127: JPT.DItemType.ADVCPROCESS_RAND_RESP
128: JPT.DItemType.ADVCPROCESS_SSH
129: JPT.DItemType.ADVCPROCESS_TH
130: JPT.DItemType.ADVCJOB
131: JPT.DItemType.ABAQSTEPS
132: JPT.DItemType.ABAQSTEPS_STRUCT
133: JPT.DItemType.ABAQSTEPS_THERMAL
134: JPT.DItemType.ABAQSTEPS_STRUCT_STATIC
135: JPT.DItemType.ABAQSTEPS_STRUCT_FREQUENCY
136: JPT.DItemType.ABAQSTEPS_STRUCT_COUPLEDTD
137: JPT.DItemType.ABAQSTEPS_STRUCT_DYNAMIC
138: JPT.DItemType.ABAQSTEPS_STRUCT_DYNAMIC_COUPLEDTD
139: JPT.DItemType.ABAQSTEPS_STRUCT_DYNAMIC_EXPLICIT
140: JPT.DItemType.ABAQSTEPS_STRUCT_STATICRISK
141: JPT.DItemType.ABAQSTEPS_THERMAL_SS
142: JPT.DItemType.ABAQSTEPS_THERMAL_TRANSIENT
143: JPT.DItemType.ABAQUSJOB
144: JPT.DItemType.LBC_MAPPING_HEATFLUX
145: JPT.DItemType.CONNECT_GAP
146: JPT.DItemType.ANSYSJOB
147: JPT.DItemType.NASTRANJOB
148: JPT.DItemType.DYANAMISJOB
149: JPT.DItemType.WELDORDER
150: JPT.DItemType.ATTRIBUTE_FXWELD
151: JPT.DItemType.ACTRANJOB
152: JPT.DItemType.LSDYNAJOB
153: JPT.DItemType.NCS
154: JPT.DItemType.ATTRIBUTE_PS_BLENDSURFACE
155: JPT.DItemType.LBC_DOFSET
156: JPT.DItemType.BEAM_PROP_ATTR
157: JPT.DItemType.BEAM_PROP_ATTR2
158: JPT.DItemType.SHELL_PROP_ATTR
159: JPT.DItemType.CONN_PROP_ATTR
160: JPT.DItemType.LBC_PRETENSION_NXN
161: JPT.DItemType.LBC_MAPPING_TEMP_MARINE_ENGINE
162: JPT.DItemType.USER_PROP
163: JPT.DItemType.CONNECTION_ELEMENT
164: JPT.DItemType.CONTACT_TSSS
165: JPT.DItemType.LBC_MAPPING_FORCEDDISPLACEMENT
166: JPT.DItemType.LBC_MAPPING_FORCED_TEMP
167: JPT.DItemType.NASTRAN_POSTJOB
168: JPT.DItemType.ADVC2_POSTJOB
208: JPT.DItemType.END
